Title,Total Count,Unique Count
"Dennis Miller Bunker collection, 1882-1943, bulk 1882-1890",7,6
"Hassel Smith papers, circa 1900-2004, bulk 1930-1995",7,4
"Abbott Handerson Thayer and Thayer Family papers, 1851-1999, bulk 1881-1950",7,5
"John Steuart Curry and Curry family papers, 1848-1999",6,3
"Richard Guggenheimer papers, 1916-1975",6,4
"Peter Blume papers, 1870-2001",6,4
"American Academy of Arts and Letters records, 1864-1942",6,6
"Jerome Blum papers, 1915-circa 1969, bulk 1919-1935",6,5
"George Grey Barnard selected papers, 1895-1941",6,4
"Horace Pippin printed material, 1939-1946",6,3
"William Penhallow Henderson papers, 1876-1987, bulk 1876-1943",6,4
"Alfred Vance Churchill papers regarding Lyonel Feininger, 1888-1944",6,4
"Morgan Russell sketches and notes, circa 1912-1920",6,3
"Lizzie P. Bliss scrapbook and papers, 1927-1979 and undated",6,4
"Alice Neel papers, 1933-1983",6,2
"Nicolai Cikovsky papers, 1939-1964",6,6
"Charles Pollock papers, 1875-1994",6,6
"Herman Baron papers, 1937-1967",6,3
"Frans Wildenhain papers, circa 1890-1991",6,3
"Lincoln Kirstein and Richard Sherman Nutt research material on William Rimmer, 1849-1971",6,2
"Interviews of artists and architects associated with the National Academy of Design, 1926-1927",6,3
"Isabel Bishop papers, 1914-1983",6,4
"Detroit Art Loan Association records, 1882-1902",6,4
"Larry Aldrich papers, 1949-1973",6,4
"Jacques Seligmann & Co. records, 1904-1978, bulk 1913-1974",6,5
"Alexander Archipenko papers, 1904-1986, bulk 1930-1964",6,3
"Worth Ryder papers, 1909-1966",6,2
"Provincetown Art Association records and photographs, 1914-circa 1975",6,6
"Gwyn Metz papers regarding Betty Parsons, circa 1930-1980",6,6
"Federation of Modern Painters and Sculptors records, 1940-1996",6,6
"Walter Quirt papers, 1928-1976",6,3
"Katherine Schmidt papers, circa 1921-1971",6,4
"Joan Brown papers, 1955-1974",6,4
"National Endowment for the Arts, Visual Arts Program selected records, 1969-1989",6,6
"Byron Browne papers, 1920-1979",6,6
"Samuel J. Wagstaff papers, circa 1932-1985",6,4
"The WPA Federal art project : its contribution to the American people / by Fanny Bowles Vanderkooi, 1940 May",6,6
"David S. Osborn papers relating to the Federal art project in California, 1956",6,6
"Frederick William MacMonnies papers, 1874-1997",6,5
"Robert Motherwell postcard to William Baziotes, 1944",6,6
"Hudson D. Walker papers, 1920-1982",6,6
"Memorial Art Gallery exhibition catalogs, 1913-1962",6,4
"Weir family papers, 1809-circa 1961, bulk 1830-1920",6,5
"Richard Lahey papers, 1919-1970",6,6
"Photographs of Imogen Cunningham, 1975",6,5
"Rhythm, 1911-1913",6,6
"Jerry Rothman papers, 1989-2003",6,1
"Thomas Moran papers, 1870-1947",6,5
"Gary Roth papers, 1974-1983",6,1
"Harry Bowden papers, 1922-1972",6,6
"William Trost Richards papers, 1848-1920",6,3
"H. H. (Henry Hobson) Richardson papers, 1857-1965",6,3
"Charles M. Kurtz papers, 1843-1990, bulk 1884-1909",6,5
"Louis M. Eilshemius letters and photographs, circa 1892-circa 1931",6,1
"Abstract expressionist art movement in America video documentation project, 1991-1992",6,6
"George Benjamin Luks papers, 1902-1961",6,6
"Waldo Peirce papers, 1903-1970",6,3
"Ladies' Art Association records, 1867-1914",6,6
"Alfred J. Frueh papers, circa 1880-2010",5,2
"Wallace Berman papers, 1907-1979, bulk 1955-1979",5,5
"Mississippi Art Colony records, ca. 1954-1991",5,5
"Rudy Burckhardt papers, 1934-2015",5,1
